,Time,P2A,P2B,P2C
0, ,SHP2A,SHP2B,SHP2C
1,7:00 - 7:30,B,B,B
2,7:30 - 8:00,B,B,B
3,8:00 - 8:30,B,B,B
4,8:30 - 9:00,B,B,B
5,9:00 - 9:30,B,B,B
6,9:30 - 10:00,B,B,B
7,10:00 - 10:30,B,B,B
8,10:30 - 11:00,B,B,B
9,11:00 - 11:30,B,B,B
10,11:30 - 12:00,B,B,B
11,12:00 - 12:30,B,B,B
12,12:30 - 13:00,B,B,B
13,13:00 - 13:30,B,B,B
14,13:30 - 14:00,B,B,B
15,14:00 - 14:30,B,B,A
16,14:30 - 15:00,B,B,A
17,15:00 - 15:30,B,B,A
18,15:30 - 16:00,B,B,A
19,16:00 - 16:30,B,B,A
20,16:30 - 17:00,B,B,A
21,17:00 - 17:30,B,B,A
22,17:30 - 18:00,B,B,A
23,18:00 - 18:30,B,B,A
24,18:30 - 19:00,B,B,B
25,19:00 - 19:30,B,B,B
26,19:30 - 20:00,B,B,B
27,20:00 - 20:30,B,B,B
28,20:30 - 21:00,B,B,B
29,21:00 - 21:30,B,B,B
30,21:30 - 22:00,B,B,B
31,22:00 - 22:30,B,B,B
