,Time,P2A,P2B,P2C
0, ,SHP2A,SHP2B,SHP2C
1,7:00 - 7:30,U,B,U
2,7:30 - 8:00,U,B,U
3,8:00 - 8:30,B,B,U
4,8:30 - 9:00,B,B,U
5,9:00 - 9:30,B,U,U
6,9:30 - 10:00,B,U,U
7,10:00 - 10:30,U,U,U
8,10:30 - 11:00,U,U,U
9,11:00 - 11:30,U,U,U
10,11:30 - 12:00,U,U,U
11,12:00 - 12:30,U,U,U
12,12:30 - 13:00,U,U,U
13,13:00 - 13:30,U,U,U
14,13:30 - 14:00,U,U,U
15,14:00 - 14:30,U,U,U
16,14:30 - 15:00,U,U,U
17,15:00 - 15:30,U,U,U
18,15:30 - 16:00,U,U,U
19,16:00 - 16:30,U,U,U
20,16:30 - 17:00,U,U,U
21,17:00 - 17:30,U,U,U
22,17:30 - 18:00,U,U,U
23,18:00 - 18:30,U,U,U
24,18:30 - 19:00,U,U,B
25,19:00 - 19:30,B,B,B
26,19:30 - 20:00,B,B,B
27,20:00 - 20:30,B,B,U
28,20:30 - 21:00,B,B,U
29,21:00 - 21:30,B,B,U
30,21:30 - 22:00,B,B,U
31,22:00 - 22:30,B,B,U
